Manufacturer
Lone Star Disc
Hooligan Discs
Stokely Discs
Prodigy Disc
Tefat
Kastaplast
Discraft
"X-UFO (Ace Mould Co., Ltd)"
Bernoulli
Meridian Discs
3rd Coast Discs
RIPR
Infinite Discs
Innova Champion Discs
XCOM Discs
Compound Discs
Clash Discs
Finuline
Disc Golf Association
Independent Discs Sweden AB
Elevation Disc Golf
ProtoFlyte
Forge Discs
Sacred Discs
Discmania
Doomsday Discs
Grassland Discs
Gorilla Performance Discs
Thought Space Athletics
Dynamic Discs
Negative
Goliath Discs
Westside Golf Discs
Visionary Disc Golf
Rogue Iron
Trash Panda Disc Golf
Goeringer Discs
Mint Discs
Ocean Discs 
Gateway Disc Sports
Evolvent Discs
Latitude 64
Divergent Discs
Prodiscus
PrintPractical
Supersonic Discs
Ire Gear
Momentum Discs AB
Above Ground Level (AGL)
RPM Discs/Disc Golf Aotearoa
Reptilian Disc Golf
Tomahawk Specialty Discs
Newb SimHouse Custom Discs
Yeet Street Discs
National Perk Service
Løft Discs
Axiom Discs
MVP Disc Sports
Osuma Disc
Birdie
Finish Line Discs
Jester Disc Golf
Goto Disc Golf
Sector
Legacy Discs
Lucky Discs
Kraken Discs
ITC-Discs
"Ningbo Junye Stationery & Sports Articles Co., Ltd."
Torch Discs
Millennium Golf Discs
Innova Factory Store
Streamline Discs
Giant Industry
Wingman Discs
Black Zombie Disc Golf
Wing It Disc Golf
Pie Pan Discs
FotCot Discs
Orbital Discs
Remix Disc Golf
OZDG
Exel Discs
Hobbysport
Disctroyer OÜ
Neptune Discs 
AstroDisc
Yikun Discs
STM Disc Golf
Northstar Discs
Alfa Discs
"Shenzhen Reanson Products Co., Ltd"
Essential Discs
Kliffa Discs
Full Turn Discs
Premier Discs
Wild Discs
Terminal Velocity Discs
TOSY
Taito Frisbeegolf
Daredevil Discs
Prysm Discs
Precision Flytes
Crown Me (Sunny Sporting Co. Ltd)
Chumba Discs
Hummingbird Flight Tech
All 4 Frisbee
LB Sport Loisir
GT Discs
Nordisc
EV-7
Windward Discs
Franklin Sports
ODDGRIP
Obsidian Discs Oy
Universal Play Disc Golf
Launch Disc Golf
Fourth Circle Discs
Cheap Discs (Refuture Ventures Ab)
Guru
Momentum Disc Golf AB
Parked LLC
Crosslap Disc Golf Parks
Cheengz/Hyperflite
Albatross Disc Golf
Tornado Throw
ABC Discs
Hero Disc
Viking Discs (IP-Agency Finland Oy)
Storm Disc Golf
Synergy Discs
Tokyo Discs
Disc Golf UK Ltd.
FlyTec
Kestrel Outdoors
Ozone Discs
Sportme
"Wham-O, Inc."
Arsenal Discs
Vibram Disc Golf
Best Disc Golf Discs
Galaxy Disc Golf
Disc King
Element Discs
Plastic Addicts
AquaFlight Discs
Las Aves Disc Golf
Tobu Discs
Fly High Discs
CHING Sports
Skyquest Discs
Hole19 sarl
Salient Discs
Paradigm Disc Golf
UB Disc Golf - Hand Candy
Deity Discs
Eurodisc
DMI Sports
Rip Disc Golf
EMSCO Group
Ferris State University
Skyiron
DKG Disc Sports
"Discwing, Ltd."
"Hero Leports Co., Ltd."
Lightning Discs
Snap Discsports
Quest Applied Technologies
1080 Disc Golf
Pacific Cycle
Aerobie
Plastic Paradise
Destiny/Dynamic Disc
